,word,count
665,travels,1
666,p,2
667,domestically,1
668,team,1
669,quick,2
670,guy,4
671,round,1
672,prevent,1
673,talked,6
674,says,7
675,dealing,1
676,cyber,6
677,sign,1
678,invaded,2
679,voucher,3
680,soldiers,2
681,aggressive,1
682,afghanistan,1
683,educate,1
684,constitution,3
685,agrees,1
686,suspect,1
687,goes,1
688,international,2
689,filled,2
690,budgets,4
691,supporting,1
692,muslim,1
693,agreement,1
694,water,1
695,address,3
696,alone,1
697,along,6
698,rue,1
699,appears,1
700,change,8
701,wait,1
702,sending,6
703,unidentified,21
704,thirty,3
705,canadian,1
706,earned,4
707,wherever,1
708,accomplished,1
709,chemical,2
710,suggestion,1
711,52s,2
712,love,8
713,statewide,3
714,verge,2
715,epa,2
716,crisis,1
717,everybody,13
718,undergone,1
719,handled,1
720,sharper,1
721,live,4
722,politicized,1
723,wondering,1
724,theoretical,1
725,today,15
726,kerry,2
727,incident,1
728,curriculum,3
729,clue,2
730,everywhere,1
731,cases,2
732,effort,1
733,organizations,1
734,thousands,3
735,quoting,1
736,abortion,7
737,believes,2
738,following,3
739,making,10
740,arrive,1
741,laughter,17
742,unconditional,1
743,heart,4
744,barbarians,1
745,trump,59
746,figure,2
747,topic,2
748,heard,3
749,dropped,1
750,council,1
751,allowed,1
752,burgeoning,1
753,",""",2
754,bankrupt,1
755,divided,4
756,watching,1
757,1,5
758,rubio,17
759,cardinal,1
760,fourth,3
761,ensure,1
762,speaks,2
763,sworn,1
764,economy,6
765,map,1
766,information,1
767,critics,3
768,eighty,1
769,applications,1
770,date,1
771,suck,1
772,nomination,3
773,grow,4
774,heartly,1
775,man,7
776,remember,8
777,johnson,1
778,whenever,2
779,maybe,6
780,borrowing,1
781,q,1
782,complaining,1
783,switch,1
784,killers,2
785,jail,1
786,african,1
787,increase,1
788,talk,10
789,alinsky,1
790,breaking,1
791,foreclosure,1
792,repair,1
793,years,37
794,brain,3
795,cuts,1
796,still,9
797,blocked,1
798,group,1
799,thank,18
800,wallace,33
801,interesting,2
802,hot,2
803,policy,9
804,decreased,1
805,texas,2
806,happened,6
807,non,1
808,recipients,1
809,nod,1
810,smarter,1
811,introduce,1
812,nation,8
813,toxic,1
814,qualified,1
815,half,7
816,balances,1
817,rescind,1
818,term,2
819,name,4
820,james,1
821,didn,8
822,amnesty,8
823,el,2
824,honduras,1
825,significantly,1
826,challenged,1
827,treacherous,1
828,yeah,1
829,challenges,1
830,persian,1
831,year,20
832,happen,4
833,tuned,1
834,plans,1
835,canada,1
836,living,5
837,ultimately,3
838,rounding,1
839,pentagon,1
840,looking,5
841,mess,1
842,seriously,2
843,investigation,1
844,internet,1
845,entitlements,2
846,receiving,1
847,correct,5
848,shows,2
849,unless,1
850,state,33
851,cars,1
852,million,13
853,quite,1
854,california,1
855,marine,2
856,care,8
857,training,2
858,entitlement,3
859,language,1
860,impose,1
861,downsides,1
862,honest,3
863,turn,4
864,place,12
865,vision,1
866,unborn,3
867,think,41
868,first,39
869,striking,1
870,one,70
871,americans,8
872,long,4
873,directly,4
874,vote,8
875,corporations,2
876,sounds,3
877,open,1
878,millions,6
879,city,1
880,given,5
881,necessarily,1
882,trillion,2
883,lesbian,1
884,anyone,2
885,returns,1
886,2,6
887,tragic,2
888,lobbyists,1
889,convention,1
890,legally,4
891,speaking,2
892,gives,2
893,dolan,1
894,hug,2
895,allegedly,1
896,uninformed,1
897,taxation,1
898,alan,1
899,released,3
900,hillary,21
901,ridiculous,2
902,11,1
903,10,8
904,television,1
905,12,1
906,15,2
907,14,1
908,17,1
909,19,4
910,18,3
911,gotta,1
912,future,4
913,marines,2
914,russia,6
915,san,1
916,appreciate,1
917,topics,4
918,turned,4
919,sad,1
920,say,48
921,breakfast,1
922,saw,3
923,answering,3
924,ideas,3
925,note,2
926,clintons,1
927,potential,1
928,take,21
929,destroy,4
930,bets,1
931,200,1
932,begin,9
933,sure,14
934,normal,2
935,track,1
936,knew,1
937,paid,4
938,pastor,1
939,assault,1
940,importantly,1
941,rationale,1
942,remarks,1
943,america,31
944,],1
945,operate,1
946,average,2
947,proud,8
948,drive,3
949,federal,15
950,axe,1
951,senior,1
952,laws,2
953,rating,3
954,shot,1
955,surplus,4
956,show,3
957,merit,1
958,moderator,1
959,mexican,6
960,soviets,2
961,data,1
962,fifth,2
963,ground,1
964,specifically,2
965,gulf,1
966,enough,6
967,crime,1
968,going,57
969,black,2
970,deployed,1
971,treasury,1
972,get,47
973,hostage,1
974,truly,1
975,cannot,4
976,nearly,1
977,portions,1
978,prime,1
979,borrow,2
980,morning,1
981,stupid,8
982,clowns,1
983,discussing,1
984,worrying,2
985,husband,1
986,declared,1
987,huckabee,20
988,elected,5
989,college,3
990,eliminating,1
991,milwaukee,1
992,apologies,1
993,surgery,1
994,concern,2
995,ways,2
996,commitments,1
997,weapons,5
998,3,3
999,reading,2
1000,across,12
1001,caucus,1
1002,dempsey,1
1003,notice,1
1004,jobs,18
1005,august,1
1006,parent,1
1007,25,3
1008,blame,2
1009,animus,1
1010,jets,1
1011,20,1
1012,spark,1
1013,cities,2
1014,come,21
1015,reaction,2
1016,superstar,1
1017,many,26
1018,according,2
1019,personal,2
1020,tout,1
1021,senator,33
1022,comes,10
1023,deported,1
1024,duty,2
1025,among,1
1026,destabilized,1
1027,mandate,1
1028,period,1
1029,mirroring,1
1030,christie,28
1031,60,2
1032,65,1
1033,learning,1
1034,article,1
1035,cancel,1
1036,liberal,2
1037,math,1
1038,destroyed,1
1039,saudis,1
1040,cares,1
1041,locally,1
1042,cared,1
1043,dictator,1
1044,borders,1
1045,500,4
1046,wants,7
1047,robbed,1
1048,thousand,2
1049,blessing,1
1050,wake,2
1051,acquiring,1
1052,former,2
1053,paying,2
1054,developing,1
1055,wealthiest,1
1056,polls,6
1057,invoking,1
1058,policies,2
1059,promising,1
1060,situation,1
1061,invited,1
1062,crusades,1
1063,alcoholic,1
1064,commander,6
1065,middle,7
1066,good,8
1067,embrace,1
1068,everyday,1
1069,worry,1
1070,different,11
1071,misunderstand,1
1072,pay,7
1073,reminded,1
1074,admit,1
1075,trip,1
1076,gentlemen,9
1077,buys,1
1078,status,3
1079,investigated,1
1080,driver,3
1081,driven,1
1082,persons,2
1083,running,4
1084,fruit,1
1085,changing,3
1086,totally,2
1087,mentally,1
1088,tracking,1
1089,eventual,1
1090,iraqis,1
1091,constitutional,3
1092,costs,2
1093,model,1
1094,justify,1
1095,violence,1
1096,money,14
1097,personhood,1
1098,actions,2
1099,kill,2
1100,aspect,1
1101,kasich,22
1102,inaudible,2
1103,announcement,2
1104,death,4
1105,rose,1
1106,seems,1
1107,except,2
1108,mirrored,1
1109,lets,1
1110,4,3
1111,republic,1
1112,real,4
1113,negotiating,1
1114,around,12
1115,rules,4
1116,gonna,14
1117,early,4
1118,quickness,1
1119,darn,1
1120,mom,1
1121,world,25
1122,transgender,2
1123,ruled,2
1124,fortune,2
1125,adams,1
1126,miracle,1
1127,server,1
1128,facing,4
1129,tsunami,1
1130,donations,1
1131,either,2
1132,fully,2
1133,reduced,1
1134,moving,1
1135,competition,2
1136,l,1
1137,cruz,23
1138,scandals,1
1139,overstay,1
1140,ability,1
1141,overly,1
1142,legal,5
1143,conservative,9
1144,exit,1
1145,deficit,1
1146,felt,1
1147,scientific,1
1148,business,8
1149,quit,2
1150,seconds,8
1151,disparaging,1
1152,broken,5
1153,leadership,3
1154,immigrate,1
1155,feeds,1
1156,ok,7
1157,island,1
1158,fringe,1
1159,tremendous,1
1160,medicare,5
1161,stand,13
1162,act,5
1163,bond,2
1164,road,1
1165,decimated,1
1166,lifted,1
1167,involvement,1
1168,parties,2
1169,jerusalem,1
1170,fast,1
1171,prepare,1
1172,aren,2
1173,hey,2
1174,start,13
1175,low,2
1176,lot,22
1177,expatriate,1
1178,redline,1
1179,complete,1
1180,ended,1
1181,trying,6
1182,buying,1
1183,longer,2
1184,pull,1
1185,hire,1
1186,improved,1
1187,pitting,1
1188,politically,3
1189,agree,10
1190,strongly,2
1191,gone,6
1192,citizenship,3
1193,videos,3
1194,totaling,1
1195,bamboozled,1
1196,al,4
1197,general,9
1198,examine,1
1199,together,3
1200,politics,4
1201,syrian,1
1202,inspections,1
1203,ice,1
1204,amendments,1
1205,retiring,1
1206,credibility,1
1207,insurance,1
1208,field,1
1209,5,7
1210,poor,4
1211,polar,1
1212,congress,9
1213,separate,2
1214,includes,2
1215,podium,1
1216,important,8
1217,divide,5
1218,chris,11
1219,pelosi,2
1220,fiscal,1
1222,calls,1
1223,wife,3
1224,chalgren,1
1225,disagreeing,1
1226,u,7
1227,embracing,1
1228,alright,6
1229,starting,1
1230,original,1
1231,liar,1
1232,chinese,2
1233,month,1
1234,follow,2
1235,religious,6
1236,children,3
1237,catastrophe,1
1238,program,9
1239,health,2
1240,case,1
1241,woman,1
